                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0393,                0.85212,                 1.1774,                0.81176,                0.67544,                0.78144,                0.46105,                  1.389,                  1.079,                 1.4589,                0.00046,                0.00046,                0.00046
                     37,                 1.0577,                0.77517,                 1.2071,                0.78848,                0.69591,                0.79362,                0.48019,                 1.3473,                 1.0474,                 1.4359,               0.000416,               0.000416,               0.000416
                     38,                  1.005,                0.72386,                  1.158,                0.79267,                0.69298,                 0.7803,                0.48308,                  1.362,                 1.0143,                 1.4398,               0.000372,               0.000372,               0.000372
                     39,                0.99547,                0.73176,                 1.1366,                0.76623,                0.71879,                0.78757,                0.49802,                 1.3188,                 1.0507,                 1.4028,               0.000328,               0.000328,               0.000328
                     40,                0.97971,                0.69168,                 1.1417,                0.78125,                0.70175,                0.79172,                0.49045,                 1.3314,                 1.0454,                  1.427,               0.000284,               0.000284,               0.000284
                     41,                0.99373,                0.72033,                 1.1526,                0.72503,                0.75146,                 0.7976,                0.48896,                 1.3375,                0.97215,                 1.4168,                0.00024,                0.00024,                0.00024
                     42,                0.95966,                0.68015,                 1.1234,                0.78621,                0.73099,                0.79864,                0.49696,                 1.3133,                0.99245,                 1.4102,               0.000196,               0.000196,               0.000196
                     43,                0.91349,                0.64979,                 1.0927,                0.78263,                0.71345,                0.80209,                0.49623,                 1.3042,                0.97795,                 1.4053,               0.000152,               0.000152,               0.000152
                     44,                0.94856,                0.68083,                 1.1084,                0.78812,                0.70175,                0.80412,                0.49212,                 1.3189,                0.98389,                 1.4213,               0.000108,               0.000108,               0.000108
                     45,                0.88377,                0.60733,                 1.0908,                0.78367,                0.71053,                0.81008,                 0.4992,                  1.314,                0.97731,                   1.41,                6.4e-05,                6.4e-05,                6.4e-05
